1,19.19,  -0.3  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Berlin                      ,  20.08.2009
2,19.26,  +0.7  ,  Yohan Blake                   , JAM  ,   26.12.89  ,1,  Bruxelles                   ,  16.09.2011
3,19.3,  -0.9  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Beijing                     ,  20.08.2008
4,19.32,  +0.4  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Atlanta                     ,  01.08.1996
4,19.32,  +0.4  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  London                      ,  09.08.2012
6,19.4,  +0.8  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Daegu                       ,  03.09.2011
7,19.44,  +0.4  ,  Yohan Blake                   , JAM  ,   26.12.89  ,2,  London                      ,  09.08.2012
8,19.53,  +0.7  ,  Walter Dix                    , USA  ,   31.01.86  ,2,  Bruxelles                   ,  16.09.2011
9,19.54,  +0.0  ,  Yohan Blake                   , JAM  ,   26.12.89  ,1,  Bruxelles                   ,  07.09.2012
10,19.55,  -0.1  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Beijing                     ,  27.08.2015
11,19.56,  -0.8  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Kingston                    ,  01.05.2010
12,19.57,  +0.0  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Bruxelles                   ,  04.09.2009
12,19.57,  +0.4  ,  Justin Gatlin                 , USA  ,   10.02.82  ,1,  Eugene                      ,  28.06.2015
14,19.58,  +1.3  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  New York City               ,  30.05.2009
14,19.58,  +1.4  ,  Usain Bolt                    , JAM  ,   21.08.86  ,  1rA  ,  Lausanne                    ,  23.08.2012
16,19.59,  -0.9  ,  Usain Bolt                    , JAM  ,   21.08.86  ,  1rA  ,  Lausanne                    ,  07.07.2009
17,19.62,  -0.3  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  Indianapolis                ,  24.06.2007
18,19.63,  +0.4  ,  Xavier Carter                 , USA  ,   08.12.85  ,1,  Lausanne                    ,  11.07.2006
18,19.63,  -0.9  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Lausanne                    ,  02.09.2008
20,19.65,  +0.0  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Daegu                       ,  28.09.2006
21,19.66,  +1.7  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Atlanta                     ,  23.06.1996
21,19.66,  +0.0  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Zürich                      ,  30.08.2012
21,19.66,  +0.0  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Moskva                      ,  17.08.2013
24,19.67,  -0.5  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Athínai                     ,  13.07.2008
25,19.68,  +0.4  ,  Frank Fredericks              , NAM  ,   02.10.67  ,2,  Atlanta                     ,  01.08.1996
25,19.68,  -0.1  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  Stuttgart                   ,  10.09.2006
25,19.68,  -0.3  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Thessaloníki                ,  13.09.2009
25,19.68,  -0.5  ,  Justin Gatlin                 , USA  ,   10.02.82  ,1,  Monaco                      ,  18.07.2014
25,19.68,  +0.9  ,  Justin Gatlin                 , USA  ,   10.02.82  ,1,  Eugene                      ,  30.05.2015
30,19.69,  +0.9  ,  Walter Dix                    , USA  ,   31.01.86  ,1,  Gainesville                 ,  26.05.2007
30,19.69,  -0.5  ,  Clarence Munyai               , RSA  ,   20.02.98  ,  1s1  ,  Pretoria                    ,  16.03.2018
30,19.69,  +2.0  ,  Noah Lyles                    , USA  ,   18.07.97  ,1,  Eugene                      ,  26.05.2018
30,19.69,  +0.4  ,  Noah Lyles                    , USA  ,   18.07.97  ,1,  Lausanne                    ,  05.07.2018
34,19.7,  +0.4  ,  Tyson Gay                     , USA  ,   09.08.82  ,2,  Lausanne                    ,  11.07.2006
34,19.7,  +0.8  ,  Walter Dix                    , USA  ,   31.01.86  ,2,  Daegu                       ,  03.09.2011
36,19.71,  +1.8  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Pietersburg                 ,  18.03.2000
36,19.71,  +0.0  ,  Justin Gatlin                 , USA  ,   10.02.82  ,1,  Bruxelles                   ,  05.09.2014
38,19.72,  +1.8  ,  Pietro Mennea                 , ITA  ,   28.06.52  ,1,  Ciudad de México            ,  12.09.1979
38,19.72,  +1.8  ,  Walter Dix                    , USA  ,   31.01.86  ,1,  Eugene                      ,  03.07.2010
38,19.72,  +0.1  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  Monaco                      ,  22.07.2010
41,19.73,  -0.2  ,  Michael Marsh                 , USA  ,   04.08.67  ,  1s1  ,  Barcelona                   ,  05.08.1992
41,19.73,  +0.2  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Saint-Denis                 ,  06.07.2013
43,19.74,  -0.1  ,  Justin Gatlin                 , USA  ,   10.02.82  ,2,  Beijing                     ,  27.08.2015
43,19.74,  +1.4  ,  LaShawn Merritt               , USA  ,   27.06.86  ,  1s3  ,  Eugene                      ,  08.07.2016
45,19.75,  +1.5  ,  Carl Lewis                    , USA  ,   01.07.61  ,1,  Indianapolis                ,  19.06.1983
45,19.75,  +1.7  ,  Joe DeLoach                   , USA  ,   05.06.67  ,1,  Seoul                       ,  28.09.1988
45,19.75,  +0.2  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Kingston                    ,  24.06.2007
45,19.75,  +1.6  ,  Justin Gatlin                 , USA  ,   10.02.82  ,1,  Eugene                      ,  09.07.2016
45,19.75,  +0.3  ,  Steven Gardiner               , BAH  ,   12.09.95  ,  1r1  ,  Coral Gables                ,  07.04.2018
50,19.76,  -0.8  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  Osaka                       ,  30.08.2007
50,19.76,  -0.4  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  London                      ,  26.07.2008
50,19.76,  -0.8  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Shanghai                    ,  23.05.2010
50,19.76,  +1.8  ,  Tyson Gay                     , USA  ,   09.08.82  ,2,  Eugene                      ,  03.07.2010
54,19.77,  +0.6  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Stockholm                   ,  08.07.1996
54,19.77,  +0.7  ,  Ato Boldon                    , TTO  ,   30.12.73  ,  1rA  ,  Stuttgart                   ,  13.07.1997
54,19.77,  +0.0  ,  Isaac Makwala                 , BOT  ,   29.09.86  ,1,  Madrid                      ,  14.07.2017
57,19.78,  +0.0  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  Lausanne                    ,  10.07.2007
57,19.78,  +0.1  ,  Yohan Blake                   , JAM  ,   26.12.89  ,2,  Monaco                      ,  22.07.2010
57,19.78,  +0.9  ,  LaShawn Merritt               , USA  ,   27.06.86  ,  1rA  ,  Nassau                      ,  16.04.2016
57,19.78,  -0.3  ,  Usain Bolt                    , JAM  ,   21.08.86  ,  1s2  ,  Rio de Janeiro              ,  17.08.2016
57,19.78,  -0.5  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Rio de Janeiro              ,  18.08.2016
62,19.79,  +1.7  ,  Carl Lewis                    , USA  ,   01.07.61  ,2,  Seoul                       ,  28.09.1988
62,19.79,  +1.0  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  New Orleans                 ,  28.06.1992
62,19.79,  +0.5  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Göteborg                    ,  11.08.1995
62,19.79,  +1.2  ,  Shawn Crawford                , USA  ,   14.01.78  ,1,  Athínai                     ,  26.08.2004
62,19.79,  +0.2  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  Bruxelles                   ,  25.08.2006
62,19.79,  +0.4  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  Zürich                      ,  19.08.2010
62,19.79,  +1.7  ,  Usain Bolt                    , JAM  ,   21.08.86  ,  1rA  ,  Oslo                        ,  13.06.2013
62,19.79,  +0.9  ,  Warren Weir                   , JAM  ,   31.10.89  ,1,  Kingston                    ,  23.06.2013
62,19.79,  +0.0  ,  Warren Weir                   , JAM  ,   31.10.89  ,2,  Moskva                      ,  17.08.2013
62,19.79,  +1.6  ,  LaShawn Merritt               , USA  ,   27.06.86  ,2,  Eugene                      ,  09.07.2016
72,19.8,  -0.9  ,  Carl Lewis                    , USA  ,   01.07.61  ,1,  Los Angeles                 ,  08.08.1984
72,19.8,  +0.4  ,  Ato Boldon                    , TTO  ,   30.12.73  ,3,  Atlanta                     ,  01.08.1996
72,19.8,  +0.8  ,  Christophe Lemaitre           , FRA  ,   11.06.90  ,3,  Daegu                       ,  03.09.2011
72,19.8,  -0.5  ,  Yohan Blake                   , JAM  ,   26.12.89  ,1,  Kingston                    ,  01.07.2012
72,19.8,  +2.0  ,  Rasheed Dwyer                 , JAM  ,   29.01.89  ,  1s1  ,  Toronto                     ,  23.07.2015
72,19.8,  -0.3  ,  Andre De Grasse               , CAN  ,   10.11.94  ,  2s2  ,  Rio de Janeiro              ,  17.08.2016
78,19.81,  +0.3  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Fukuoka                     ,  13.09.1997
78,19.81,  -0.3  ,  Alonso Edward                 , PAN  ,   08.12.89  ,2,  Berlin                      ,  20.08.2009
78,19.81,  +0.4  ,  Churandy Martina              , NED  ,   03.07.84  ,1,  Lausanne                    ,  25.08.2016
81,19.82,  +2.0  ,  Carl Lewis                    , USA  ,   01.07.61  ,1,  Sestriere                   ,  11.08.1988
81,19.82,  +1.1  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Oslo                        ,  05.07.1996
81,19.82,  +1.6  ,  Ato Boldon                    , TTO  ,   30.12.73  ,  1rA  ,  Stockholm                   ,  07.07.1997
81,19.82,  +1.3  ,  Wallace Spearmon              , USA  ,   24.12.84  ,1,  New York City               ,  02.06.2007
81,19.82,  -0.2  ,  Warren Weir                   , JAM  ,   31.10.89  ,1,  New York City               ,  14.06.2014
86,19.83,  +0.9  ,  Tommie Smith                  , USA  ,   12.06.44  ,1,  Ciudad de México            ,  16.10.1968
86,19.83,  +1.7  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Atlanta                     ,  18.05.1996
86,19.83,  +0.3  ,  Usain Bolt                    , JAM  ,   21.08.86  ,1,  Ostrava                     ,  12.06.2008
86,19.83,  -0.5  ,  Usain Bolt                    , JAM  ,   21.08.86  ,2,  Kingston                    ,  01.07.2012
86,19.83,  +1.3  ,  Noah Lyles                    , USA  ,   18.07.97  ,1,  Ad-Dawhah                   ,  04.05.2018
91,19.84,  +0.2  ,  Carl Lewis                    , USA  ,   01.07.61  ,  1q3  ,  Los Angeles                 ,  19.06.1984
91,19.84,  +1.7  ,  Francis Obikwelu              , NGR  ,   22.11.78  ,  1s2  ,  Sevilla                     ,  25.08.1999
91,19.84,  +0.2  ,  Tyson Gay                     , USA  ,   09.08.82  ,1,  London                      ,  28.07.2006
91,19.84,  +0.4  ,  Warren Weir                   , JAM  ,   31.10.89  ,3,  London                      ,  09.08.2012
91,19.84,  +1.2  ,  Alonso Edward                 , PAN  ,   08.12.89  ,1,  Lausanne                    ,  03.07.2014
91,19.84,  +1.2  ,  Wayde van Niekerk             , RSA  ,   15.07.92  ,1,  Kingston                    ,  10.06.2017
91,19.84,  -0.6  ,  Michael Norman                , USA  ,   03.12.97  ,1,  Paris                       ,  30.06.2018
98,19.85,  +0.4  ,  Michael Johnson               , USA  ,   13.09.67  ,1,  Edinburgh                   ,  06.07.1990
98,19.85,  +0.3  ,  Frank Fredericks              , NAM  ,   02.10.67  ,1,  Stuttgart                   ,  20.08.1993
98,19.85,  -0.9  ,  Ato Boldon                    , TTO  ,   30.12.73  ,1,  Lausanne                    ,  03.07.1996
98,19.85,  +1.1  ,  Michael Johnson               , USA  ,   13.09.67  ,2,  Oslo                        ,  05.07.1996
98,19.85,  -0.3  ,  John Capel                    , USA  ,   27.11.78  ,1,  Sacramento                  ,  23.07.2000
