1,01:40.91, David Rudisha               ,   KEN   ,  17.12.88 ,1, London                   ,   09.08.2012
2,01:41.01, David Rudisha               ,   KEN   ,  17.12.88 ,   1rA   , Rieti                    ,   29.08.2010
3,01:41.09, David Rudisha               ,   KEN   ,  17.12.88 ,1, Berlin                   ,   22.08.2010
4,01:41.11, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Köln                     ,   24.08.1997
5,01:41.24, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   1rA   , Zürich                   ,   13.08.1997
6,01:41.33, David Rudisha               ,   KEN   ,  17.12.88 ,   1rA   , Rieti                    ,   10.09.2011
7,01:41.51, David Rudisha               ,   KEN   ,  17.12.88 ,   1rA   , Heusden-Zolder           ,   10.07.2010
8,01:41.54, David Rudisha               ,   KEN   ,  17.12.88 ,1, Saint-Denis              ,   06.07.2012
9,01:41.73, Sebastian Coe               ,   GBR   ,  29.09.56 ,1, Firenze                  ,   10.06.1981
9,01:41.73, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Stockholm                ,   07.07.1997
9,01:41.73, Nijel Amos                  ,   BOT   ,  15.03.94 ,2, London                   ,   09.08.2012
12,01:41.74, David Rudisha               ,   KEN   ,  17.12.88 ,1, New York City            ,   09.06.2012
13,01:41.77, Joaquim Cruz                ,   BRA   ,  12.03.63 ,1, Köln                     ,   26.08.1984
14,01:41.83, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Rieti                    ,   01.09.1996
15,01:42.01, David Rudisha               ,   KEN   ,  17.12.88 ,   1rA   , Rieti                    ,   06.09.2009
16,01:42.04, David Rudisha               ,   KEN   ,  17.12.88 ,   1rA   , Oslo                     ,   04.06.2010
17,01:42.12, David Rudisha               ,   KEN   ,  17.12.88 ,1, Nairobi                  ,   23.06.2012
18,01:42.15, David Rudisha               ,   KEN   ,  17.12.88 ,1, Rio de Janeiro           ,   15.08.2016
19,01:42.17, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Tokyo                    ,   16.09.1996
20,01:42.20, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Bruxelles                ,   22.08.1997
21,01:42.23, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,   2rA   , Oslo                     ,   04.06.2010
22,01:42.27, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Bruxelles                ,   03.09.1999
23,01:42.28, Sammy Koskei                ,   KEN   ,  14.05.61 ,2, Köln                     ,   26.08.1984
24,01:42.32, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Rieti                    ,   08.09.2002
25,01:42.33, Sebastian Coe               ,   GBR   ,  29.09.56 ,1, Oslo                     ,   05.07.1979
26,01:42.34, Joaquim Cruz                ,   BRA   ,  12.03.63 ,   1rA   , Zürich                   ,   22.08.1984
26,01:42.34, Wilfred Bungei              ,   KEN   ,  24.07.80 ,2, Rieti                    ,   08.09.2002
28,01:42.37, Mohammed Aman               ,   ETH   ,  10.01.94 ,   1rA   , Bruxelles                ,   06.09.2013
29,01:42.41, Joaquim Cruz                ,   BRA   ,  12.03.63 ,1, Bruxelles                ,   24.08.1984
30,01:42.45, Nijel Amos                  ,   BOT   ,  15.03.94 ,1, Monaco                   ,   18.07.2014
31,01:42.47, Yuriy Borzakovskiy          ,   RUS   ,  12.04.81 ,1, Bruxelles                ,   24.08.2001
32,01:42.49, Joaquim Cruz                ,   BRA   ,  12.03.63 ,   1r1   , Koblenz                  ,   28.08.1985
33,01:42.51, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Nice                     ,   10.07.1996
33,01:42.51, Amel Tuka                   ,   BIH   ,  09.01.91 ,1, Monaco                   ,   17.07.2015
35,01:42.52, Wilfred Bungei              ,   KEN   ,  24.07.80 ,1, Bruxelles                ,   05.09.2003
36,01:42.53, Timothy Kitum               ,   KEN   ,  20.11.94 ,3, London                   ,   09.08.2012
36,01:42.53, Mohammed Aman               ,   ETH   ,  10.01.94 ,1, Zürich                   ,   30.08.2012
36,01:42.53, Pierre-Ambroise Bosse       ,   FRA   ,  11.05.92 ,2, Monaco                   ,   18.07.2014
39,01:42.54, Joaquim Cruz                ,   BRA   ,  12.03.63 ,1, Köln                     ,   25.08.1985
40,01:42.55, André Bucher                ,   SUI   ,  19.10.76 ,   1rA   , Zürich                   ,   17.08.2001
41,01:42.57, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Monaco                   ,   04.08.1999
42,01:42.58, Vebjørn Rodal               ,   NOR   ,  16.09.72 ,1, Atlanta                  ,   31.07.1996
43,01:42.59, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Monaco                   ,   10.08.1996
44,01:42.60, Johnny Gray                 ,   USA   ,  19.06.60 ,   2r1   , Koblenz                  ,   28.08.1985
45,01:42.61, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   1rA   , Zürich                   ,   14.08.1996
45,01:42.61, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Lausanne                 ,   02.07.1997
45,01:42.61, David Rudisha               ,   KEN   ,  17.12.88 ,1, Monaco                   ,   22.07.2011
45,01:42.61, Taoufik Makhloufi           ,   ALG   ,  29.04.88 ,2, Rio de Janeiro           ,   15.08.2016
49,01:42.62, Patrick Ndururi             ,   KEN   ,  12.01.69 ,   2rA   , Zürich                   ,   13.08.1997
50,01:42.65, Johnny Gray                 ,   USA   ,  19.06.60 ,   1rA   , Zürich                   ,   17.08.1988
51,01:42.66, Nijel Amos                  ,   BOT   ,  15.03.94 ,2, Monaco                   ,   17.07.2015
52,01:42.67, Alfred Kirwa Yego           ,   KEN   ,  28.11.86 ,   2rA   , Rieti                    ,   06.09.2009
53,01:42.69, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,2, Bruxelles                ,   03.09.1999
53,01:42.69, Japheth Kimutai             ,   KEN   ,  20.12.78 ,3, Bruxelles                ,   03.09.1999
53,01:42.69, Abubaker Kaki Khamis        ,   SUD   ,  21.06.89 ,1, Oslo                     ,   06.06.2008
56,01:42.74, Hezekiél Sepeng             ,   RSA   ,  30.06.74 ,2, Atlanta                  ,   31.07.1996
56,01:42.74, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Bruxelles                ,   30.08.2002
58,01:42.75, André Bucher                ,   SUI   ,  19.10.76 ,2, Bruxelles                ,   24.08.2001
59,01:42.76, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Oslo                     ,   05.07.1996
59,01:42.76, Japheth Kimutai             ,   KEN   ,  20.12.78 ,1, Stuttgart                ,   19.07.1998
61,01:42.77, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Bruxelles                ,   23.08.1996
61,01:42.77, Wilson Kipketer             ,   DEN   ,  12.12.70 ,1, Monaco                   ,   16.08.1997
63,01:42.79, Frederick Onyancha          ,   KEN   ,  25.12.69 ,3, Atlanta                  ,   31.07.1996
63,01:42.79, Wilson Kipketer             ,   DEN   ,  12.12.70 ,   1rA   , Roma                     ,   07.07.1999
63,01:42.79, Yuriy Borzakovskiy          ,   RUS   ,  12.04.81 ,1, Monaco                   ,   19.07.2008
63,01:42.79, Youssef Saad Kamel          ,   BRN   ,  29.03.83 ,2, Monaco                   ,   19.07.2008
67,01:42.80, Johnny Gray                 ,   USA   ,  19.06.60 ,1, New Orleans              ,   24.06.1992
68,01:42.81, Jean-Patrick Nduwimana      ,   BDI   ,  09.05.78 ,   2rA   , Zürich                   ,   17.08.2001
68,01:42.81, David Rudisha               ,   KEN   ,  17.12.88 ,2, Zürich                   ,   30.08.2012
70,01:42.82, Duane Solomon               ,   USA   ,  28.12.84 ,4, London                   ,   09.08.2012
