1,  2:02:57  , Dennis Kimetto               ,  KEN   ,  22.04.84  ,1, Berlin                ,      28.09.2014
2,  2:03:02  , Geoffrey Mutai               ,  KEN   ,  07.10.81  ,1, Boston                ,      18.04.2011
3,  2:03:03  , Kenenisa Bekele              ,  ETH   ,  13.06.82  ,1, Berlin                ,      25.09.2016
4,  2:03:05  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, London                ,      24.04.2016
5,  2:03:06  , Moses Mosop                  ,  KEN   ,  17.07.85  ,2, Boston                ,      18.04.2011
6,  2:03:13  , Emmanuel Mutai               ,  KEN   ,  12.10.84  ,2, Berlin                ,      28.09.2014
6,  2:03:13  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,2, Berlin                ,      25.09.2016
8,  2:03:23  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,1, Berlin                ,      29.09.2013
9,  2:03:32  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, Berlin                ,      24.09.2017
10,  2:03:38  , Patrick Makau                ,  KEN   ,  02.03.85  ,1, Berlin                ,      25.09.2011
11,  2:03:42  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,1, Frankfurt             ,      30.10.2011
12,  2:03:45  , Dennis Kimetto               ,  KEN   ,  22.04.84  ,1, Chicago               ,      13.10.2013
13,  2:03:46  , Guye Adola                   ,  ETH   ,  20.10.90  ,2, Berlin                ,      24.09.2017
14,  2:03:51  , Stanley Biwott               ,  KEN   ,  21.04.86  ,2, London                ,      24.04.2016
15,  2:03:52  , Emmanuel Mutai               ,  KEN   ,  12.10.84  ,2, Chicago               ,      13.10.2013
16,  2:03:58  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,1, Tokyo                 ,      26.02.2017
17,  2:03:59  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Berlin                ,      28.09.2008
18,  2:04:00  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, Berlin                ,      27.09.2015
18,  2:04:00  , Mosinet Geremew              ,  ETH   ,  12.02.92  ,1, Dubai                 ,      26.01.2018
20,  2:04:02  , Leul Gebrselassie            ,  ETH   ,  20.09.93  ,2, Dubai                 ,      26.01.2018
21,  2:04:05  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,2, Berlin                ,      29.09.2013
22,  2:04:06  , Tamirat Tola                 ,  ETH   ,  11.08.91  ,3, Dubai                 ,      26.01.2018
22,  2:04:06  , Asefa Mengistu               ,  ETH   ,  18.01.85  ,4, Dubai                 ,      26.01.2018
24,  2:04:08  , Sisay Lemma                  ,  ETH   ,  12.12.90  ,5, Dubai                 ,      26.01.2018
25,  2:04:11  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, Chicago               ,      12.10.2014
25,  2:04:11  , Tamirat Tola                 ,  ETH   ,  11.08.91  ,1, Dubai                 ,      20.01.2017
27,  2:04:15  , Geoffrey Mutai               ,  KEN   ,  07.10.81  ,1, Berlin                ,      30.09.2012
27,  2:04:15  , Birhanu Legesse              ,  ETH   ,  09.11.94  ,6, Dubai                 ,      26.01.2018
29,  2:04:16  , Dennis Kimetto               ,  KEN   ,  22.04.84  ,2, Berlin                ,      30.09.2012
30,  2:04:17  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, London                ,      22.04.2018
31,  2:04:23  , Ayele Abshero                ,  ETH   ,  28.12.90  ,1, Dubai                 ,      27.01.2012
32,  2:04:24  , Tesfaye Abera                ,  ETH   ,  31.03.92  ,1, Dubai                 ,      22.01.2016
33,  2:04:26  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Berlin                ,      30.09.2007
34,  2:04:27  , Duncan Kipkemboi Kibet       ,  KEN   ,  25.04.78  ,1, Rotterdam             ,      05.04.2009
34,  2:04:27  , James Kipsang Kwambai        ,  KEN   ,  28.02.83  ,2, Rotterdam             ,      05.04.2009
36,  2:04:28  , Sammy Kirop Kitwara          ,  KEN   ,  26.11.86  ,2, Chicago               ,      12.10.2014
37,  2:04:29  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,1, London                ,      13.04.2014
38,  2:04:32  , Tsegaye Mekonnen             ,  ETH   ,  15.06.95  ,1, Dubai                 ,      24.01.2014
38,  2:04:32  , Dickson Chumba               ,  KEN   ,  27.10.86  ,3, Chicago               ,      12.10.2014
40,  2:04:33  , Lemi Berhanu                 ,  ETH   ,  13.09.94  ,2, Dubai                 ,      22.01.2016
41,  2:04:38  , Tsegay Kebede                ,  ETH   ,  15.01.87  ,1, Chicago               ,      07.10.2012
42,  2:04:40  , Emmanuel Mutai               ,  KEN   ,  12.10.84  ,1, London                ,      17.04.2011
43,  2:04:42  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, London                ,      26.04.2015
44,  2:04:44  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,1, London                ,      22.04.2012
44,  2:04:44  , Seifu Tura                   ,  ETH   ,95,7, Dubai                 ,      26.01.2018
46,  2:04:45  , Lelisa Desisa Benti          ,  ETH   ,  14.01.90  ,1, Dubai                 ,      25.01.2013
47,  2:04:46  , Tsegaye Mekonnen             ,  ETH   ,  15.06.95  ,3, Dubai                 ,      22.01.2016
48,  2:04:47  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,2, London                ,      26.04.2015
49,  2:04:48  , Patrick Makau                ,  KEN   ,  02.03.85  ,1, Rotterdam             ,      11.04.2010
49,  2:04:48  , Yemane Adhane                ,  ETH   ,  08.04.85  ,1, Rotterdam             ,      15.04.2012
49,  2:04:48  , Berhanu Shiferaw             ,  ETH   ,  31.05.93  ,2, Dubai                 ,      25.01.2013
52,  2:04:49  , Tadesse Tola                 ,  ETH   ,  31.10.87  ,3, Dubai                 ,      25.01.2013
52,  2:04:49  , Tola Shura                   ,  ETH   ,  09.06.96  ,2, London                ,      22.04.2018
54,  2:04:50  , Dino Sefer                   ,  ETH   ,  28.05.88  ,2, Dubai                 ,      27.01.2012
54,  2:04:50  , Getu Feleke                  ,  ETH   ,  28.11.86  ,2, Rotterdam             ,      15.04.2012
56,  2:04:52  , Feyisa Lelisa                ,  ETH   ,  01.02.90  ,2, Chicago               ,      07.10.2012
56,  2:04:52  , Endeshaw Negesse             ,  ETH   ,  18.03.88  ,4, Dubai                 ,      25.01.2013
58,  2:04:53  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Dubai                 ,      18.01.2008
58,  2:04:53  , Gebre-egziabher Gebremariam  ,  ETH   ,  10.09.84  ,3, Boston                ,      18.04.2011
58,  2:04:53  , Bernard Koech                ,  KEN   ,  31.01.88  ,5, Dubai                 ,      25.01.2013
61,  2:04:54  , Markos Geneti                ,  ETH   ,  30.05.84  ,3, Dubai                 ,      27.01.2012
62,  2:04:55  , Paul Tergat                  ,  KEN   ,  17.06.69  ,1, Berlin                ,      28.09.2003
62,  2:04:55  , Geoffrey Mutai               ,  KEN   ,  07.10.81  ,2, Rotterdam             ,      11.04.2010
62,  2:04:55  , Stanley Biwott               ,  KEN   ,  21.04.86  ,2, London                ,      13.04.2014
65,  2:04:56  , Sammy Korir                  ,  KEN   ,  12.12.71  ,2, Berlin                ,      28.09.2003
65,  2:04:56  , Jonathan Maiyo               ,  KEN   ,  05.05.88  ,4, Dubai                 ,      27.01.2012
67,  2:04:57  , Wilson Kipsang Kiprotich     ,  KEN   ,  15.03.82  ,1, Frankfurt             ,      31.10.2010
68,  2:04:58  , Ryan Hall                    ,  USA   ,  14.10.82  ,4, Boston                ,      18.04.2011
69,  2:05:00  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, Rotterdam             ,      13.04.2014
70,  2:05:03  , Moses Mosop                  ,  KEN   ,  17.07.85  ,3, Rotterdam             ,      15.04.2012
71,  2:05:04  , Abel Kirui                   ,  KEN   ,  04.06.82  ,3, Rotterdam             ,      05.04.2009
71,  2:05:04  , Kenenisa Bekele              ,  ETH   ,  13.06.82  ,1, Paris                 ,      06.04.2014
73,  2:05:06  , Geoffrey Mutai               ,  KEN   ,  07.10.81  ,1, New York City         ,      06.11.2011
74,  2:05:08  , Patrick Makau                ,  KEN   ,  02.03.85  ,1, Berlin                ,      26.09.2010
75,  2:05:09  , Lawrence Cherono             ,  KEN   ,  07.08.88  ,1, Amsterdam             ,      15.10.2017
76,  2:05:10  , Samuel Wanjiru               ,  KEN   ,  10.11.86  ,1, London                ,      26.04.2009
76,  2:05:10  , Geoffrey Mutai               ,  KEN   ,  07.10.81  ,2, Berlin                ,      26.09.2010
76,  2:05:10  , Tadesse Tola                 ,  ETH   ,  31.10.87  ,5, Dubai                 ,      27.01.2012
79,  2:05:12  , Stanley Biwott               ,  KEN   ,  21.04.86  ,1, Paris                 ,      15.04.2012
80,  2:05:13  , Vincent Kipruto              ,  KEN   ,  13.09.87  ,3, Rotterdam             ,      11.04.2010
80,  2:05:13  , Markos Geneti                ,  ETH   ,  30.05.84  ,2, Dubai                 ,      24.01.2014
80,  2:05:13  , Wilson Loyanai               ,  KEN   ,  20.11.88  ,1, Seoul                 ,      20.03.2016
80,  2:05:13  , Nobert Kigen                 ,  KEN   ,  24.10.93  ,2, Amsterdam             ,      15.10.2017
84,  2:05:15  , Martin Lel                   ,  KEN   ,  29.10.78  ,1, London                ,      13.04.2008
84,  2:05:15  , Sammy Kirop Kitwara          ,  KEN   ,  26.11.86  ,1, Valencia              ,      19.11.2017
86,  2:05:16  , Levi Matebo                  ,  KEN   ,  03.11.89  ,2, Frankfurt             ,      30.10.2011
86,  2:05:16  , Sammy Kirop Kitwara          ,  KEN   ,  26.11.86  ,3, Chicago               ,      13.10.2013
86,  2:05:16  , Sisay Lemma                  ,  ETH   ,  12.12.90  ,4, Dubai                 ,      22.01.2016
89,  2:05:18  , Tsegay Kebede                ,  ETH   ,  15.01.87  ,1, Fukuoka               ,      06.12.2009
90,  2:05:19  , Tsegay Kebede                ,  ETH   ,  15.01.87  ,1, London                ,      25.04.2010
91,  2:05:20  , Tsegay Kebede                ,  ETH   ,  15.01.87  ,2, London                ,      26.04.2009
92,  2:05:21  , Eliud Kiptanui               ,  KEN   ,  06.06.89  ,2, Berlin                ,      27.09.2015
92,  2:05:21  , Daniel Wanjiru               ,  KEN   ,  25.05.92  ,1, Amsterdam             ,      16.10.2016
94,  2:05:23  , Feyisa Lelisa                ,  ETH   ,  01.02.90  ,4, Rotterdam             ,      11.04.2010
95,  2:05:24  , Samuel Wanjiru               ,  KEN   ,  10.11.86  ,2, London                ,      13.04.2008
96,  2:05:25  , Bado Worku                   ,  ETH   ,  22.07.88  ,3, Berlin                ,      26.09.2010
96,  2:05:25  , Albert Matebor               ,  KEN   ,  20.12.80  ,3, Frankfurt             ,      30.10.2011
98,  2:05:26  , Abraham Kiptum               ,  KEN   ,89,3, Amsterdam             ,      15.10.2017
99,  2:05:27  , Jaouad Gharib                ,  MAR   ,  22.05.72  ,3, London                ,      26.04.2009
99,  2:05:27  , Wilson Chebet                ,  KEN   ,  07.12.85  ,1, Rotterdam             ,      10.04.2011
99,  2:05:27  , Tilahun Regessa              ,  ETH   ,  18.01.90  ,3, Chicago               ,      07.10.2012
102,  2:05:28  , Lemi Berhanu                 ,  ETH   ,  13.09.94  ,1, Dubai                 ,      23.01.2015
103,  2:05:29  , Haile Gebrselassie           ,  ETH   ,  18.04.73  ,1, Dubai                 ,      16.01.2009
104,  2:05:30  , Abderrahim Goumri            ,  MAR   ,  21.05.76  ,3, London                ,      13.04.2008
104,  2:05:30  , Eliud Kipchoge               ,  KEN   ,  05.11.84  ,1, Hamburg               ,      21.04.2013
104,  2:05:30  , Evans Chebet                 ,  KEN   ,  05.03.88  ,2, Valencia              ,      19.11.2017
104,  2:05:30  , Dickson Chumba               ,  KEN   ,  27.10.86  ,1, Tokyo                 ,      25.02.2018
108,  2:05:31  , Evans Chebet                 ,  KEN   ,  05.03.88  ,3, Berlin                ,      25.09.2016
109,  2:05:33  , Vincent Kipruto              ,  KEN   ,  13.09.87  ,2, Rotterdam             ,      10.04.2011
109,  2:05:33  , Evans Barkokwet              ,  KEN   ,  05.03.88  ,2, Seoul                 ,      20.03.2016
111,  2:05:36  , James Kipsang Kwambai        ,  KEN   ,  28.02.83  ,2, Berlin                ,      28.09.2008
111,  2:05:36  , Wilson Chebet                ,  KEN   ,  07.12.85  ,1, Amsterdam             ,      20.10.2013
113,  2:05:37  , Moses Mosop                  ,  KEN   ,  17.07.85  ,1, Chicago               ,      09.10.2011
113,  2:05:37  , Wilson Loyanai               ,  KEN   ,  20.11.88  ,1, Seoul                 ,      18.03.2012
115,  2:05:38  , Khalid Khannouchi            ,  USA   ,  22.12.71  ,1, London                ,      14.04.2002
115,  2:05:38  , Tilahun Regessa              ,  ETH   ,  18.01.90  ,1, Rotterdam             ,      14.04.2013
117,  2:05:39  , Eliud Kiptanui               ,  KEN   ,  06.06.89  ,1, Praha                 ,      09.05.2010
117,  2:05:39  , Mule Wasihun                 ,  ETH   ,  20.10.93  ,4, Amsterdam             ,      15.10.2017
119,  2:05:41  , Samuel Wanjiru               ,  KEN   ,  10.11.86  ,1, Chicago               ,      11.10.2009
119,  2:05:41  , Dadi Yami                    ,  ETH   ,82,6, Dubai                 ,      27.01.2012
119,  2:05:41  , Wilson Chebet                ,  KEN   ,  07.12.85  ,1, Amsterdam             ,      21.10.2012
119,  2:05:41  , Getu Feleke                  ,  ETH   ,  28.11.86  ,1, Wien                  ,      13.04.2014
123,  2:05:42  , Khalid Khannouchi            ,  MAR   ,  22.12.71  ,1, Chicago               ,      24.10.1999
123,  2:05:42  , Shami Abdullah               ,  ETH   ,  16.07.84  ,7, Dubai                 ,      27.01.2012
